LOCALIDADE;SIGLA;ANO;mais 70;50 - 69;15 -49
Brazil;BRA;1990;61501;68455;20064
Brazil;BRA;1991;61246;67900;19737
Brazil;BRA;1992;62945;68753;19927
Brazil;BRA;1993;66301;71043;20547
Brazil;BRA;1994;67373;71199;20684
Brazil;BRA;1995;68377;71398;20793
Brazil;BRA;1996;70171;72033;21013
Brazil;BRA;1997;70750;71289;20715
Brazil;BRA;1998;72829;72186;20686
Brazil;BRA;1999;73909;72403;20470
Brazil;BRA;2000;74548;72180;20098
Brazil;BRA;2001;75693;71919;19767
Brazil;BRA;2002;76894;71898;19369
Brazil;BRA;2003;78019;72287;18947
Brazil;BRA;2004;78544;72951;18656
Brazil;BRA;2005;77268;71646;17865
Brazil;BRA;2006;77841;72028;17523
Brazil;BRA;2007;78188;72361;17099
Brazil;BRA;2008;78522;72992;16800
Brazil;BRA;2009;79484;73481;16424
Brazil;BRA;2010;80461;73830;15850
Brazil;BRA;2011;80784;74400;15392
Brazil;BRA;2012;80103;73996;14729
Brazil;BRA;2013;80303;74284;14167
Brazil;BRA;2014;80230;74111;13405
Brazil;BRA;2015;81005;74751;12833
Brazil;BRA;2016;82483;76662;12584
Brazil;BRA;2017;82041;75079;11785
Brazil;BRA;2018;82827;74469;11556
Brazil;BRA;2019;84386;74381;11353
